,uniq,beta,KL
clusters_2000/beta-0.6/,1741.0,0.6,1.0309255123138428
clusters_1000/beta-0.6/,917.0,0.6,0.8682178854942322
clusters_500/beta-0.6/,488.0,0.6,0.5904868841171265
clusters_400/beta-0.6/,392.0,0.6,0.516532301902771
clusters_2000/beta-1/,52.0,1.0,0.4708383083343506
clusters_300/beta-0.6/,297.0,0.6,0.41541793942451477
clusters_350/beta-0.6/,348.0,0.6,0.40505504608154297
clusters_500/beta-1/,54.0,1.0,0.3768077790737152
clusters_100/beta-1/,36.0,1.0,0.3347100019454956
clusters_1000/beta-1/,49.0,1.0,0.32809972763061523
clusters_220/beta-0.6/,220.0,0.6,0.3243444859981537
clusters_250/beta-0.6/,250.0,0.6,0.3185769021511078
clusters_180/beta-0.6/,180.0,0.6,0.20329038798809052
clusters_240/beta-0.6/,236.0,0.6,0.19966062903404236
clusters_200/beta-0.6/,197.0,0.6,0.16765859723091125
clusters_160/beta-0.6/,159.0,0.6,0.14291884005069733
clusters_150/beta-0.6/,150.0,0.6,0.11332957446575165
clusters_140/beta-0.6/,140.0,0.6,0.0836254358291626
clusters_120/beta-0.6/,120.0,0.6,0.05261421203613281
clusters_100/beta-0.6/,100.0,0.6,0.030746091157197952
clusters_50/beta-0.6/,50.0,0.6,0.014419970102608204
clusters_10/beta-0.6/,10.0,0.6,0.008547303266823292
